anio,mes,nacionalidad,total
2019,Abril,Venezuela,62232
2019,Abril,Colombia,18418
2019,Abril,Estados Unidos de América,13793
2019,Abril,Perú,7369
2019,Abril,España,2292
2019,Abril,Alemania,1917
2019,Abril,Argentina,1864
2019,Abril,Reino Unido,1853
2019,Abril,Canadá,1658
2019,Abril,Francia,1481
2019,Abril,Chile,1456
2019,Abril,México,1066
2019,Abril,Brasil,947
2019,Abril,Países Bajos,861
2019,Abril,China,844
2019,Abril,Italia,809
2019,Abril,Australia,795
2019,Abril,Israel,703
2019,Abril,Filipinas,665
2019,Abril,Suiza,653
2019,Abril,India,577
2019,Abril,Panamá,372
2019,Abril,Bélgica,338
2019,Abril,Camerún,329
2019,Abril,Dinamarca,300
2019,Abril,Federación de Rusia,288
2019,Abril,Japón,286
2019,Abril,Costa Rica,259
2019,Abril,Uruguay,238
2019,Abril,República Dominicana,197
2019,Abril,Polonia,189
2019,Abril,Bolivia,180
2019,Abril,Nueva Zelanda,179
2019,Abril,Irlanda,175
2019,Abril,Austria,175
2019,Abril,El Salvador,174
2019,Abril,Suecia,173
2019,Abril,Guatemala,169
2019,Abril,República de Corea del Sur,160
2019,Abril,Portugal,127
2019,Abril,Noruega,119
2019,Abril,Ucrania,106
2019,Abril,Honduras,86
2019,Abril,Sudáfrica,86
2019,Abril,República Checa,85
2019,Abril,Grecia,81
2019,Abril,Cuba,75
2019,Abril,Rumania,70
2019,Abril,Paraguay,62
2019,Abril,Turquía,58
2019,Abril,Angola,46
2019,Abril,Sri Lanka,44
2019,Abril,Singapur,43
2019,Abril,Nicaragua,36
2019,Abril,Letonia,35
2019,Abril,Finlandia,34
2019,Abril,Tailandia,29
2019,Abril,Eslovaquia,28
2019,Abril,Hungría,28
2019,Abril,Lituania,27
2019,Abril,Croacia,27
2019,Abril,Eslovenia,24
2019,Abril,Bulgaria,23
2019,Abril,Luxemburgo,21
2019,Abril,Ghana,20
2019,Abril,Irán,17
2019,Abril,Malasia,16
2019,Abril,Indonesia,14
2019,Abril,Albania,13
2019,Abril,Islandia,12
2019,Abril,Vietnam,12
2019,Abril,Marruecos,10
2019,Abril,Yemen,10
2019,Abril,Eritrea,9
2019,Abril,Egipto,8
2019,Abril,Estonia,8
2019,Abril,Georgia,7
2019,Abril,Palestina,7
2019,Abril,República Democrática del Congo,7
2019,Abril,Sudán,6
2019,Abril,Uzbekistán,6
2019,Abril,Serbia,6
2019,Abril,Guyana,6
2019,Abril,Argelia,6
2019,Abril,Bielorrusia,6
2019,Abril,Nepal,5
2019,Abril,Chipre,5
2019,Abril,Camboya,5
2019,Abril,Malta,5
2019,Abril,Guinea,5
2019,Abril,Jamaica,5
2019,Abril,Arabia Saudita,5
2019,Abril,Kuwait,5
2019,Abril,Pakistán,4
2019,Abril,Emiratos Árabes Unidos,4
2019,Abril,Líbano,4
2019,Abril,Barbados,4
2019,Abril,Kazajistán,4
2019,Abril,República Árabe Siria,3
2019,Abril,Irak,3
2019,Abril,Omán,3
2019,Abril,Jordania,3
2019,Abril,Zimbabue,3
2019,Abril,Haití,3
2019,Abril,Andorra,3
2019,Abril,Vanuatu,2
2019,Abril,Tayikistán,2
2019,Abril,Surinam,2
2019,Abril,Kiribati,2
2019,Abril,Liechtenstein,2
2019,Abril,Trinidad y Tobago,2
2019,Abril,Costa de Marfil,2
2019,Abril,Myanmar,2
2019,Abril,San Cristóbal y Nieves,2
2019,Abril,Bangladesh,2
2019,Abril,Malaui,2
2019,Abril,Fiyi,2
2019,Abril,Azerbaiyán,2
2019,Abril,Sierra Leona,2
2019,Abril,Antigua y Barbuda,1
2019,Abril,Dominica,1
2019,Abril,República Popular Democrática de Corea,1
2019,Abril,Mónaco,1
2019,Abril,Afganistán,1
2019,Abril,Samoa,1
2019,Abril,Kenia,1
2019,Abril,Benín,1
2019,Abril,Micronesia (Estados Federados de),1
2019,Abril,Bahamas,1
2019,Abril,Cabo Verde,1
2019,Abril,Liberia,1
2019,Abril,Túnez,1
2019,Abril,Belice,1
2019,Agosto,Venezuela,83165
2019,Agosto,Estados Unidos de América,18147
2019,Agosto,Colombia,17393
2019,Agosto,Perú,11884
2019,Agosto,España,5450
2019,Agosto,Francia,2315
2019,Agosto,Alemania,2251
2019,Agosto,Argentina,1677
2019,Agosto,Chile,1663
2019,Agosto,Canadá,1616
2019,Agosto,Reino Unido,1576
2019,Agosto,Italia,1530
2019,Agosto,Brasil,1117
2019,Agosto,México,1028
2019,Agosto,China,1015
2019,Agosto,Países Bajos,813
2019,Agosto,Australia,695
2019,Agosto,Filipinas,641
2019,Agosto,Suiza,558
2019,Agosto,Panamá,412
2019,Agosto,Bélgica,396
2019,Agosto,Israel,287
2019,Agosto,Austria,274
2019,Agosto,Federación de Rusia,271
2019,Agosto,Japón,270
2019,Agosto,Bolivia,257
2019,Agosto,India,256
2019,Agosto,Uruguay,254
2019,Agosto,Costa Rica,241
2019,Agosto,República Dominicana,235
2019,Agosto,Guatemala,192
2019,Agosto,Nueva Zelanda,186
2019,Agosto,El Salvador,182
2019,Agosto,República de Corea del Sur,173
2019,Agosto,Polonia,169
2019,Agosto,Irlanda,159
2019,Agosto,Cuba,155
2019,Agosto,Portugal,132
2019,Agosto,Dinamarca,121
2019,Agosto,Paraguay,86
2019,Agosto,Ucrania,86
2019,Agosto,Camerún,82
2019,Agosto,Suecia,79
2019,Agosto,Honduras,74
2019,Agosto,Rumania,66
2019,Agosto,Noruega,63
2019,Agosto,Grecia,58
2019,Agosto,Nicaragua,55
2019,Agosto,República Checa,54
2019,Agosto,Turquía,51
2019,Agosto,Malasia,44
2019,Agosto,Luxemburgo,43
2019,Agosto,Sudáfrica,42
2019,Agosto,Hungría,39
2019,Agosto,Singapur,36
2019,Agosto,Tailandia,35
2019,Agosto,Letonia,32
2019,Agosto,Finlandia,32
2019,Agosto,Sri Lanka,31
2019,Agosto,Vietnam,31
2019,Agosto,Trinidad y Tobago,31
2019,Agosto,Eslovaquia,30
2019,Agosto,Indonesia,29
2019,Agosto,Yemen,21
2019,Agosto,Marruecos,20
2019,Agosto,Egipto,19
2019,Agosto,Irán,18
2019,Agosto,Croacia,18
2019,Agosto,Bulgaria,18
2019,Agosto,Lituania,17
2019,Agosto,República Democrática del Congo,16
2019,Agosto,Jamaica,15
2019,Agosto,Serbia,13
2019,Agosto,Argelia,12
2019,Agosto,Bielorrusia,12
2019,Agosto,Eslovenia,11
2019,Agosto,Emiratos Árabes Unidos,10
2019,Agosto,Ghana,10
2019,Agosto,Chipre,10
2019,Agosto,Bahamas,10
2019,Agosto,Albania,9
2019,Agosto,Palestina,9
2019,Agosto,Arabia Saudita,9
2019,Agosto,Líbano,9
2019,Agosto,Georgia,8
2019,Agosto,Haití,8
2019,Agosto,República Árabe Siria,8
2019,Agosto,Estonia,7
2019,Agosto,Andorra,6
2019,Agosto,Eritrea,5
2019,Agosto,Islandia,5
2019,Agosto,Guinea,5
2019,Agosto,Myanmar,4
2019,Agosto,Nepal,4
2019,Agosto,Pakistán,4
2019,Agosto,Kazajistán,4
2019,Agosto,Omán,3
2019,Agosto,Angola,3
2019,Agosto,Granada,3
2019,Agosto,Cabo Verde,3
2019,Agosto,Surinam,3
2019,Agosto,Antigua y Barbuda,3
2019,Agosto,Congo,3
2019,Agosto,Belice,2
2019,Agosto,Sudán,2
2019,Agosto,Liechtenstein,2
2019,Agosto,Yibuti,2
2019,Agosto,Túnez,2
2019,Agosto,República de Moldovia,2
2019,Agosto,Costa de Marfil,2
2019,Agosto,Kuwait,2
2019,Agosto,Kenia,2
2019,Agosto,Jordania,2
2019,Agosto,Madagascar,2
2019,Agosto,Catar,2
2019,Agosto,Malí,2
2019,Agosto,Mauricio,2
2019,Agosto,Libia,2
2019,Agosto,Guyana,2
2019,Agosto,San Cristóbal y Nieves,1
2019,Agosto,Nigeria,1
2019,Agosto,Irak,1
2019,Agosto,Dominica,1
2019,Agosto,Kirguistán,1
2019,Agosto,Fiyi,1
2019,Agosto,Vanuatu,1
2019,Agosto,Bosnia y Herzegovina,1
2019,Agosto,Camboya,1
2019,Agosto,Gambia,1
2019,Agosto,Mauritania,1
2019,Agosto,Malta,1
2019,Agosto,Mongolia,1
2019,Agosto,Burkina Faso,1
2019,Agosto,Tanzania (República Unida de) ,1
2019,Agosto,Azerbaiyán,1
2019,Agosto,Uzbekistán,1
2019,Agosto,Sudán del Sur,1
2019,Agosto,Gabón,1
2019,Agosto,Armenia,1
2019,Diciembre,Colombia,27605
2019,Diciembre,Estados Unidos de América,25298
2019,Diciembre,Perú,9919
2019,Diciembre,España,6047
2019,Diciembre,Canadá,3096
2019,Diciembre,Alemania,2459
2019,Diciembre,Chile,2070
2019,Diciembre,México,2002
2019,Diciembre,Argentina,1922
2019,Diciembre,Francia,1691
2019,Diciembre,Reino Unido,1579
2019,Diciembre,Brasil,1523
2019,Diciembre,Italia,1432
2019,Diciembre,Venezuela,1214
2019,Diciembre,Países Bajos,1012
2019,Diciembre,China,913
2019,Diciembre,Suiza,804
2019,Diciembre,Australia,706
2019,Diciembre,Filipinas,511
2019,Diciembre,Panamá,471
2019,Diciembre,Costa Rica,445
2019,Diciembre,Bélgica,444
2019,Diciembre,Bolivia,430
2019,Diciembre,Federación de Rusia,418
2019,Diciembre,Suecia,340
2019,Diciembre,Japón,338
2019,Diciembre,República de Corea del Sur,302
2019,Diciembre,El Salvador,294
2019,Diciembre,Austria,257
2019,Diciembre,Uruguay,248
2019,Diciembre,República Dominicana,211
2019,Diciembre,Polonia,199
2019,Diciembre,Guatemala,193
2019,Diciembre,Portugal,184
2019,Diciembre,Israel,172
2019,Diciembre,Dinamarca,164
2019,Diciembre,Irlanda,153
2019,Diciembre,Nueva Zelanda,142
2019,Diciembre,Noruega,132
2019,Diciembre,Ucrania,127
2019,Diciembre,República Checa,120
2019,Diciembre,Finlandia,119
2019,Diciembre,Honduras,115
2019,Diciembre,Rumania,105
2019,Diciembre,Cuba,89
2019,Diciembre,Grecia,86
2019,Diciembre,Paraguay,83
2019,Diciembre,India,67
2019,Diciembre,Yemen,64
2019,Diciembre,Sudáfrica,63
2019,Diciembre,Singapur,58
2019,Diciembre,Hungría,54
2019,Diciembre,Nicaragua,54
2019,Diciembre,Bulgaria,43
2019,Diciembre,Turquía,39
2019,Diciembre,Irán,37
2019,Diciembre,Lituania,34
2019,Diciembre,Letonia,33
2019,Diciembre,Croacia,32
2019,Diciembre,Eslovenia,27
2019,Diciembre,Indonesia,24
2019,Diciembre,Myanmar,24
2019,Diciembre,Eslovaquia,21
2019,Diciembre,Tailandia,20
2019,Diciembre,Bielorrusia,20
2019,Diciembre,Líbano,19
2019,Diciembre,Malasia,18
2019,Diciembre,Egipto,17
2019,Diciembre,Luxemburgo,17
2019,Diciembre,Estonia,15
2019,Diciembre,Marruecos,15
2019,Diciembre,Serbia,15
2019,Diciembre,Kazajistán,12
2019,Diciembre,Islandia,12
2019,Diciembre,Belice,11
2019,Diciembre,Arabia Saudita,10
2019,Diciembre,Jordania,10
2019,Diciembre,Georgia,9
2019,Diciembre,Argelia,9
2019,Diciembre,Jamaica,8
2019,Diciembre,Albania,8
2019,Diciembre,Kuwait,8
2019,Diciembre,Haití,7
2019,Diciembre,República de Moldovia,7
2019,Diciembre,Ruanda,6
2019,Diciembre,Vietnam,6
2019,Diciembre,Malta,6
2019,Diciembre,Chipre,6
2019,Diciembre,Kiribati,6
2019,Diciembre,Trinidad y Tobago,5
2019,Diciembre,Barein,4
2019,Diciembre,Uzbekistán,4
2019,Diciembre,Palestina,4
2019,Diciembre,Pakistán,3
2019,Diciembre,Zimbabue,3
2019,Diciembre,Eritrea,3
2019,Diciembre,Barbados,3
2019,Diciembre,Omán,3
2019,Diciembre,Bangladesh,3
2019,Diciembre,Liechtenstein,2
2019,Diciembre,Bosnia y Herzegovina,2
2019,Diciembre,Bahamas,2
2019,Diciembre,Guyana,2
2019,Diciembre,Sri Lanka,2
2019,Diciembre,Uganda,2
2019,Diciembre,Namibia,2
2019,Diciembre,República Popular Democrática de Corea,2
2019,Diciembre,Surinam,2
2019,Diciembre,Antigua República Yugoslava de Macedonia,2
2019,Diciembre,Benín,2
2019,Diciembre,Mozambique,2
2019,Diciembre,Sudán,2
2019,Diciembre,Kosovo,2
2019,Diciembre,Costa de Marfil,2
2019,Diciembre,Nepal,2
2019,Diciembre,Zambia,1
2019,Diciembre,Liberia,1
2019,Diciembre,Islas Salomón,1
2019,Diciembre,Micronesia (Estados Federados de),1
2019,Diciembre,Ghana,1
2019,Diciembre,Suazilandia,1
2019,Diciembre,Mauritania,1
2019,Diciembre,Papúa Nueva Guinea,1
2019,Diciembre,Azerbaiyán,1
2019,Diciembre,Armenia,1
2019,Diciembre,Irak,1
2019,Diciembre,Mauricio,1
2019,Diciembre,Vanuatu,1
2019,Diciembre,Catar,1
2019,Diciembre,Andorra,1
2019,Diciembre,Afganistán,1
2019,Diciembre,Sierra Leona,1
2019,Diciembre,Kenia,1
2019,Enero,Venezuela,44051
2019,Enero,Colombia,33834
2019,Enero,Estados Unidos de América,18244
2019,Enero,Perú,12736
2019,Enero,Chile,3698
2019,Enero,Argentina,3624
2019,Enero,Canadá,3185
2019,Enero,España,2963
2019,Enero,Alemania,2239
2019,Enero,Brasil,2016
2019,Enero,Reino Unido,1713
2019,Enero,Francia,1704
2019,Enero,México,1108
2019,Enero,China,1027
2019,Enero,Italia,964
2019,Enero,Países Bajos,926
2019,Enero,Australia,919
2019,Enero,Suiza,792
2019,Enero,Panamá,648
2019,Enero,Costa Rica,447
2019,Enero,Bolivia,444
2019,Enero,Federación de Rusia,428
2019,Enero,República de Corea del Sur,400
2019,Enero,Suecia,373
2019,Enero,Bélgica,339
2019,Enero,Uruguay,326
2019,Enero,Japón,298
2019,Enero,Filipinas,296
2019,Enero,Austria,279
2019,Enero,Dinamarca,275
2019,Enero,India,266
2019,Enero,Polonia,225
2019,Enero,Israel,199
2019,Enero,Noruega,184
2019,Enero,Portugal,179
2019,Enero,El Salvador,157
2019,Enero,Guatemala,154
2019,Enero,República Checa,153
2019,Enero,Irlanda,150
2019,Enero,República Dominicana,137
2019,Enero,Nueva Zelanda,136
2019,Enero,Eslovaquia,120
2019,Enero,Ucrania,119
2019,Enero,Honduras,107
2019,Enero,Paraguay,96
2019,Enero,Finlandia,91
2019,Enero,Cuba,90
2019,Enero,Camerún,78
2019,Enero,Palestina,71
2019,Enero,Rumania,69
2019,Enero,Turquía,64
2019,Enero,Nicaragua,62
2019,Enero,Líbano,59
2019,Enero,Hungría,55
2019,Enero,Grecia,46
2019,Enero,Bulgaria,44
2019,Enero,Croacia,43
2019,Enero,Myanmar,42
2019,Enero,Tailandia,37
2019,Enero,Egipto,35
2019,Enero,Serbia,31
2019,Enero,Malasia,29
2019,Enero,Sri Lanka,28
2019,Enero,Sudáfrica,28
2019,Enero,Lituania,27
2019,Enero,Vietnam,25
2019,Enero,Eslovenia,25
2019,Enero,Singapur,23
2019,Enero,Yemen,23
2019,Enero,Indonesia,22
2019,Enero,Letonia,22
2019,Enero,Ghana,21
2019,Enero,Trinidad y Tobago,19
2019,Enero,Irán,17
2019,Enero,Georgia,17
2019,Enero,Islandia,15
2019,Enero,Estonia,13
2019,Enero,Jamaica,13
2019,Enero,Bielorrusia,13
2019,Enero,Angola,12
2019,Enero,Luxemburgo,11
2019,Enero,Albania,11
2019,Enero,Guinea,10
2019,Enero,República Democrática del Congo,9
2019,Enero,República Árabe Siria,9
2019,Enero,Arabia Saudita,8
2019,Enero,Surinam,8
2019,Enero,Marruecos,7
2019,Enero,Jordania,7
2019,Enero,Haití,7
2019,Enero,Malta,6
2019,Enero,Zambia,5
2019,Enero,Pakistán,5
2019,Enero,Congo,5
2019,Enero,Kazajistán,4
2019,Enero,Kosovo,4
2019,Enero,Eritrea,4
2019,Enero,Chipre,3
2019,Enero,Bahamas,3
2019,Enero,Kuwait,3
2019,Enero,Uzbekistán,3
2019,Enero,Senegal,3
2019,Enero,San Cristóbal y Nieves,3
2019,Enero,Guyana,3
2019,Enero,República de Moldovia,3
2019,Enero,Andorra,3
2019,Enero,Irak,3
2019,Enero,Namibia,2
2019,Enero,Armenia,2
2019,Enero,Costa de Marfil,2
2019,Enero,Túnez,2
2019,Enero,Azerbaiyán,2
2019,Enero,Belice,2
2019,Enero,Argelia,2
2019,Enero,Cabo Verde,2
2019,Enero,Nigeria,2
2019,Enero,Brunei Darussalam,2
2019,Enero,Uganda,2
2019,Enero,Sudán,2
2019,Enero,República Popular Democrática de Corea,1
2019,Enero,Kirguistán,1
2019,Enero,Antigua República Yugoslava de Macedonia,1
2019,Enero,Samoa,1
2019,Enero,Vanuatu,1
2019,Enero,Mónaco,1
2019,Enero,Islas Salomón,1
2019,Enero,Liechtenstein,1
2019,Enero,Barbados,1
2019,Enero,Antigua y Barbuda,1
2019,Enero,Zimbabue,1
2019,Enero,Guinea-Bisau,1
2019,Enero,Montenegro,1
2019,Enero,Barein,1
2019,Enero,Madagascar,1
2019,Enero,Tanzania (República Unida de) ,1
2019,Enero,Bosnia y Herzegovina,1
2019,Enero,Libia,1
2019,Enero,Gambia,1
2019,Febrero,Venezuela,26860
2019,Febrero,Estados Unidos de América,19622
2019,Febrero,Colombia,18649
2019,Febrero,Perú,10715
2019,Febrero,Chile,4653
2019,Febrero,España,3672
2019,Febrero,Canadá,3610
2019,Febrero,Alemania,3247
2019,Febrero,Reino Unido,2363
2019,Febrero,Francia,2004
2019,Febrero,Argentina,1907
2019,Febrero,China,1209
2019,Febrero,México,1169
2019,Febrero,Brasil,1101
2019,Febrero,Países Bajos,980
2019,Febrero,Italia,764
2019,Febrero,Suiza,713
2019,Febrero,Australia,645
2019,Febrero,Panamá,638
2019,Febrero,Dinamarca,510
2019,Febrero,India,417
2019,Febrero,Japón,404
2019,Febrero,Austria,397
2019,Febrero,Suecia,346
2019,Febrero,Filipinas,346
2019,Febrero,Bélgica,332
2019,Febrero,Federación de Rusia,300
2019,Febrero,República de Corea del Sur,283
2019,Febrero,Uruguay,283
2019,Febrero,Bolivia,282
2019,Febrero,Costa Rica,255
2019,Febrero,Polonia,247
2019,Febrero,Israel,204
2019,Febrero,República Dominicana,196
2019,Febrero,República Checa,183
2019,Febrero,Portugal,166
2019,Febrero,El Salvador,161
2019,Febrero,Guatemala,153
2019,Febrero,Irlanda,151
2019,Febrero,Ucrania,132
2019,Febrero,Noruega,128
2019,Febrero,Camerún,125
2019,Febrero,Rumania,121
2019,Febrero,Finlandia,116
2019,Febrero,Nueva Zelanda,99
2019,Febrero,Honduras,94
2019,Febrero,Palestina,83
2019,Febrero,Paraguay,74
2019,Febrero,Cuba,73
2019,Febrero,Bulgaria,70
2019,Febrero,Grecia,64
2019,Febrero,Indonesia,63
2019,Febrero,Hungría,62
2019,Febrero,Eslovaquia,55
2019,Febrero,Turquía,52
2019,Febrero,Nicaragua,50
2019,Febrero,Sri Lanka,43
2019,Febrero,Croacia,36
2019,Febrero,Yemen,34
2019,Febrero,Sudáfrica,33
2019,Febrero,Lituania,33
2019,Febrero,Angola,32
2019,Febrero,Irán,31
2019,Febrero,Eslovenia,27
2019,Febrero,Líbano,25
2019,Febrero,Luxemburgo,23
2019,Febrero,Estonia,21
2019,Febrero,Kazajistán,20
2019,Febrero,Egipto,18
2019,Febrero,Letonia,18
2019,Febrero,Tailandia,17
2019,Febrero,Serbia,17
2019,Febrero,Bielorrusia,15
2019,Febrero,Malasia,15
2019,Febrero,Islandia,15
2019,Febrero,Singapur,14
2019,Febrero,República Democrática del Congo,13
2019,Febrero,Ghana,13
2019,Febrero,Georgia,11
2019,Febrero,Jordania,11
2019,Febrero,República Árabe Siria,10
2019,Febrero,Albania,9
2019,Febrero,Eritrea,9
2019,Febrero,Bahamas,8
2019,Febrero,Túnez,8
2019,Febrero,Argelia,8
2019,Febrero,Trinidad y Tobago,7
2019,Febrero,Marruecos,7
2019,Febrero,Surinam,6
2019,Febrero,Libia,6
2019,Febrero,Jamaica,6
2019,Febrero,Arabia Saudita,5
2019,Febrero,Vietnam,5
2019,Febrero,Irak,4
2019,Febrero,Pakistán,4
2019,Febrero,Sudán,4
2019,Febrero,Uzbekistán,4
2019,Febrero,Barbados,3
2019,Febrero,Haití,3
2019,Febrero,Micronesia (Estados Federados de),3
2019,Febrero,Sierra Leona,3
2019,Febrero,Zambia,3
2019,Febrero,Guyana,3
2019,Febrero,Gambia,3
2019,Febrero,Uganda,3
2019,Febrero,Togo,3
2019,Febrero,Guinea,3
2019,Febrero,San Cristóbal y Nieves,2
2019,Febrero,República de Moldovia,2
2019,Febrero,Mauricio,2
2019,Febrero,Myanmar,2
2019,Febrero,Burundi,2
2019,Febrero,Barein,2
2019,Febrero,Kiribati,2
2019,Febrero,Mauritania,2
2019,Febrero,Santa Lucía,2
2019,Febrero,Malta,2
2019,Febrero,Emiratos Árabes Unidos,2
2019,Febrero,Liechtenstein,2
2019,Febrero,Kuwait,2
2019,Febrero,Santa Sede (Vaticano),1
2019,Febrero,Dominica,1
2019,Febrero,Congo,1
2019,Febrero,Madagascar,1
2019,Febrero,Azerbaiyán,1
2019,Febrero,Zimbabue,1
2019,Febrero,Kirguistán,1
2019,Febrero,Kosovo,1
2019,Febrero,Belice,1
2019,Febrero,Mónaco,1
2019,Febrero,Etiopía,1
2019,Febrero,Bosnia y Herzegovina,1
2019,Febrero,Timor-Leste,1
2019,Febrero,Nigeria,1
2019,Febrero,Malí,1
2019,Febrero,Malaui,1
2019,Febrero,Chipre,1
2019,Febrero,Lesoto,1
2019,Febrero,Senegal,1
2019,Julio,Venezuela,47269
2019,Julio,Estados Unidos de América,28489
2019,Julio,Colombia,21740
2019,Julio,Perú,11583
2019,Julio,España,6162
2019,Julio,Alemania,2831
2019,Julio,Reino Unido,2661
2019,Julio,Francia,2588
2019,Julio,Chile,2447
2019,Julio,Canadá,1828
2019,Julio,Argentina,1824
2019,Julio,Países Bajos,1737
2019,Julio,México,1483
2019,Julio,Brasil,1266
2019,Julio,Suiza,1228
2019,Julio,China,1141
2019,Julio,Italia,1054
2019,Julio,Bélgica,793
2019,Julio,Australia,744
2019,Julio,Filipinas,698
2019,Julio,Panamá,467
2019,Julio,Israel,433
2019,Julio,India,412
2019,Julio,Bolivia,389
2019,Julio,Costa Rica,385
2019,Julio,Austria,320
2019,Julio,Dinamarca,306
2019,Julio,Federación de Rusia,299
2019,Julio,República Dominicana,294
2019,Julio,Japón,256
2019,Julio,Uruguay,237
2019,Julio,Camerún,231
2019,Julio,Nueva Zelanda,224
2019,Julio,Irlanda,216
2019,Julio,República de Corea del Sur,204
2019,Julio,Suecia,195
2019,Julio,El Salvador,189
2019,Julio,Guatemala,160
2019,Julio,Noruega,160
2019,Julio,Paraguay,154
2019,Julio,Portugal,153
2019,Julio,Polonia,145
2019,Julio,Cuba,131
2019,Julio,República Checa,127
2019,Julio,Ucrania,112
2019,Julio,Sri Lanka,100
2019,Julio,Honduras,77
2019,Julio,Rumania,62
2019,Julio,Nicaragua,55
2019,Julio,Sudáfrica,54
2019,Julio,Grecia,49
2019,Julio,Finlandia,42
2019,Julio,Hungría,35
2019,Julio,Eslovaquia,32
2019,Julio,Turquía,31
2019,Julio,Jamaica,26
2019,Julio,Angola,25
2019,Julio,Malasia,25
2019,Julio,Letonia,24
2019,Julio,Singapur,24
2019,Julio,Lituania,22
2019,Julio,Luxemburgo,21
2019,Julio,Bulgaria,20
2019,Julio,Irán,18
2019,Julio,República Democrática del Congo,18
2019,Julio,Eslovenia,17
2019,Julio,Vietnam,17
2019,Julio,Croacia,16
2019,Julio,Estonia,15
2019,Julio,Indonesia,13
2019,Julio,Tailandia,12
2019,Julio,Albania,11
2019,Julio,Arabia Saudita,10
2019,Julio,Egipto,10
2019,Julio,Eritrea,10
2019,Julio,Bahamas,10
2019,Julio,Marruecos,10
2019,Julio,Yemen,10
2019,Julio,Pakistán,9
2019,Julio,Bielorrusia,9
2019,Julio,Georgia,8
2019,Julio,Serbia,8
2019,Julio,Trinidad y Tobago,8
2019,Julio,Ghana,6
2019,Julio,Namibia,6
2019,Julio,Kenia,6
2019,Julio,Líbano,6
2019,Julio,Túnez,5
2019,Julio,Belice,5
2019,Julio,Haití,5
2019,Julio,Burkina Faso,5
2019,Julio,Mónaco,4
2019,Julio,República de Moldovia,4
2019,Julio,Barbados,4
2019,Julio,Palestina,4
2019,Julio,Botsuana,4
2019,Julio,Omán,4
2019,Julio,Armenia,4
2019,Julio,Kazajistán,4
2019,Julio,Islandia,4
2019,Julio,Afganistán,3
2019,Julio,República Árabe Siria,3
2019,Julio,Argelia,3
2019,Julio,Uganda,3
2019,Julio,Malta,3
2019,Julio,Chipre,3
2019,Julio,Emiratos Árabes Unidos,3
2019,Julio,Jordania,3
2019,Julio,Malí,2
2019,Julio,Cabo Verde,2
2019,Julio,Madagascar,2
2019,Julio,Kiribati,2
2019,Julio,República Centroafricana,2
2019,Julio,Bosnia y Herzegovina,2
2019,Julio,Myanmar,2
2019,Julio,Catar,2
2019,Julio,Nigeria,2
2019,Julio,Sudán,2
2019,Julio,Irak,2
2019,Julio,Dominica,2
2019,Julio,San Cristóbal y Nieves,2
2019,Julio,Surinam,2
2019,Julio,Barein,2
2019,Julio,Guinea,1
2019,Julio,Antigua y Barbuda,1
2019,Julio,República Popular Democrática de Corea,1
2019,Julio,Antigua República Yugoslava de Macedonia,1
2019,Julio,Guyana,1
2019,Julio,Uzbekistán,1
2019,Julio,Micronesia (Estados Federados de),1
2019,Julio,Togo,1
2019,Julio,Kosovo,1
2019,Julio,Comoras,1
2019,Julio,Maldivas,1
2019,Julio,Costa de Marfil,1
2019,Julio,Nepal,1
2019,Julio,Ruanda,1
2019,Julio,Vanuatu,1
2019,Julio,Zambia,1
2019,Julio,Zimbabue,1
2019,Julio,Kuwait,1
2019,Julio,Liechtenstein,1
2019,Julio,Tanzania (República Unida de) ,1
2019,Julio,Mauricio,1
2019,Julio,Bangladesh,1
2019,Junio,Venezuela,79421
2019,Junio,Estados Unidos de América,28967
2019,Junio,Colombia,19508
2019,Junio,Perú,8151
2019,Junio,España,5235
2019,Junio,Alemania,1766
2019,Junio,Francia,1640
2019,Junio,Reino Unido,1575
2019,Junio,Canadá,1443
2019,Junio,Chile,1441
2019,Junio,Argentina,1438
2019,Junio,México,1224
2019,Junio,Brasil,1005
2019,Junio,China,919
2019,Junio,Italia,850
2019,Junio,India,834
2019,Junio,Australia,758
2019,Junio,Países Bajos,717
2019,Junio,Filipinas,609
2019,Junio,Bélgica,572
2019,Junio,Suiza,530
2019,Junio,Panamá,502
2019,Junio,Camerún,443
2019,Junio,Israel,421
2019,Junio,República de Corea del Sur,403
2019,Junio,Bolivia,331
2019,Junio,Polonia,290
2019,Junio,Costa Rica,270
2019,Junio,Federación de Rusia,224
2019,Junio,Japón,214
2019,Junio,Dinamarca,206
2019,Junio,Suecia,199
2019,Junio,Uruguay,197
2019,Junio,República Dominicana,189
2019,Junio,Nueva Zelanda,175
2019,Junio,El Salvador,152
2019,Junio,Irlanda,148
2019,Junio,Guatemala,142
2019,Junio,Noruega,137
2019,Junio,Portugal,134
2019,Junio,Austria,126
2019,Junio,Cuba,119
2019,Junio,Ucrania,103
2019,Junio,Honduras,94
2019,Junio,Grecia,91
2019,Junio,Sri Lanka,86
2019,Junio,República Checa,82
2019,Junio,Sudáfrica,65
2019,Junio,Finlandia,65
2019,Junio,Rumania,64
2019,Junio,Hungría,61
2019,Junio,Paraguay,56
2019,Junio,Angola,47
2019,Junio,Indonesia,40
2019,Junio,Croacia,39
2019,Junio,Nicaragua,39
2019,Junio,Tailandia,37
2019,Junio,Letonia,33
2019,Junio,Bulgaria,32
2019,Junio,Malasia,29
2019,Junio,Irán,26
